complaint_id,date_received,district_column,general_cap_classification,summary,incident_date_extract,incident_time_extract,objectid,my_column,complaint_id_1,complainant_sex,complainant_race,complainant_age,objectid_1
25-0621,11/11/2025 5:00:00,9,VERBAL ABUSE,"According to the complainant, on 10-26-25 at 4:07 PM, they were treated unprofessionally by an unknown 911 call-taker. They called 911 to report a possible missing person due to a missing person alert mentioning a specific van. The complainant states that the call-taker was unaware of the alert and repeatedly asked them why they were calling. The complainant states that the call-taker was rude and unprofessional.",2025-10-26,16:07:00,66,0900,25-0621,Female,,,69
26-0120,3/23/2026 4:00:00,22,DEPARTMENTAL VIOLATIONS,"According to the complainants, on 3-5-26 at 5:14 PM, while in the confines of the 22nd District, departmental policies were violated by 22nd District officers. They were stopped by police for obstruction of a license plate. The complainant gave their information to the officers. The complainantâs partner was asked for their information but did not comply. They were asked to step out of the vehicle, was frisked and detained in the back of a patrol car. The complainant states a week later they received five tickets in the mail.",2026-03-05,17:14:00,67,2200,26-0120,Female,Black,36,70
21-0064,2/11/2021 5:00:00,18,DEPARTMENTAL VIOLATIONS,"On 2-9-21 at 11:15 AM, while in the confines of the 19th District, they were improperly stopped and harassed by 19th District officers. The complainant noticed police follow them from a location. When the officers pulled the complainant over, they asked them for the reason of the stop. An officer told the complainant that they did not stop at a stop sign and the tint on their vehicle was too dark. The complainant asked the officers whey they did not pull them over blocks ago since the tint was dark. The complainant states that they were harassed by the officers.",2021-02-09,11:15:00,68,1800,21-0064,Female,Black,31,72
21-0065,2/16/2021 5:00:00,7,LACK OF SERVICE,"According to the complainant, on 2-8-21 between 10:00 PM and 12:00 AM, two employees of a pharmacy store, in the confines of the 7th District, called 911 three times but police never arrived. The complainant states that the employees called 911 to have an individual that was threatening them removed from the store. The individual eventually left but came back a short time later and refused to leave again. When officers did not respond, an employeeâs parent arrived and forced the person to leave. The complainant also states they later observed a patrol car driving around the building at 12:18 AM, over two hours later.",2021-02-08,22:00:00,69,0700,21-0065,Female,White,40,73
21-0066,2/12/2021 5:00:00,14,CRIMINAL ALLEGATION,"According to the complainant, their vehicle was improperly searched and their property is missing by unknown officers. Also they did not receive proper service from an unknown supervisor. On 2-11-21 at 8:00 PM, while in the confines of the 14th District, they were stopped by police. The complainant was placed in the back of a patrol car. Officers proceeded to search the complainantâs vehicle. The complainant states once they returned to their vehicle, they noticed their brass knuckles and United States Currency were missing. The complainant called 911 for a supervisor. The supervisor arrived and said, âI watched the video. Those are serious allegations.â The supervisor told the complainant that they did not see the officers take the knuckles or money and that they are trying to tarnish their names.",2021-02-11,20:00:00,70,1400,21-0066,Male,Black,43,74
21-0067,2/12/2021 5:00:00,25,DEPARTMENTAL VIOLATIONS,"According to the complainant, officers assigned to the Neighborhood Services Unit violated departmental policies while in the confines of the 25th District. The complainant states that officers fail to wear a face coverings / masks while inside of a public building in violation of CDC guidelines.",NA,NA,71,2500,21-0067,,,0,75
21-0068,2/16/2021 5:00:00,6,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-9-21 at 1:00 AM, after being arrested and transported to 750 Race Street, an officer approached them and yelled at the complainant to take the hood off of their head. The officer then called the complainant a fat b**ch and threatened to drag the complainantâs fat a**. The officer would not provide the complainant with their name and badge number.",2021-02-09,01:00:00,72,0600,21-0068,Female,Black,,76
21-0069,2/17/2021 5:00:00,22,DEPARTMENTAL VIOLATIONS,"The complainant states that their property was improperly entered by unknown officers while in the confines of the 22nd District. On several dates and times, officers entered their property without their permission. The complainant states that at the time, their property was boarded up. The officers removed the boards and entered that property. The complainant states that they have video of one occasion where the officers removed an unknown object from the property.",NA,NA,73,2200,21-0069,Female,Black,43,77
21-0070,3/4/2021 5:00:00,39,DEPARTMENTAL VIOLATIONS,The complainant states their vehicle was improperly impounded by an unknown officer while in the confines of the 39th District. The complainant states their vehicle was âLive-Stoppedâ by an officer because they failed to carry insurance. The complainant states that they were issued (2) citations.,NA,NA,74,3900,21-0070,Male,Black,30,78
21-0071,2/16/2021 5:00:00,8,UNPROFESSIONAL CONDUCT,"On 2-13-21, the complainant filed a report with police and was told that the officer would be arresting the individual. When the offender was not arrested, the complainant went to the district to follow up and was mocked by the officers.",2021-02-13,NA,75,0800,21-0071,Male,White,50,79
21-0072,2/17/2021 5:00:00,2,UNPROFESSIONAL CONDUCT,"The complainant states a 2nd District officer violated departmental policies and acted unprofessionally while in the confines of the 2nd District. The officer was at their residence to serve a family member with court paperwork. While there, the officer told the complainant that they were a nuisance. The complainant also states in 2019, the officer transported them to a police facility. While the officer was driving, the officer browsed through their cell phone. On another occasion, the complainant, noticed the officer inside of an establishment not wearing a face covering.",NA,NA,76,0200,21-0072,Female,Black,54,80
21-0073,2/16/2021 5:00:00,5,CRIMINAL ALLEGATION,"According to the complainant, on 2-2-21 at 10:39 PM, an off duty officer struck a building and left the scene of the accident. The complainant went to the district the next day to follow-up and was informed that it was a civil matter. The complainant knows who the officer is and where the officer resides.",2021-02-02,22:39:00,77,0500,21-0073,Male,,,81
21-0074,2/17/2021 5:00:00,19,PHYSICAL ABUSE,"On 1-27-21 at 7:00 AM, police knocked down the complainantâs front door and broke a screen door. The complainant, who was naked at the time, fell back onto the couch as officers forced their way into the home. An officer grabbed the complainantâs arm and threw the complainant to the ground, stating, âB***h, get on the floor.â When the complainant asked a detective about putting some clothes on, the detective said, âThey are gonna love your fine a*s, where we are taking you.â",2021-01-27,07:00:00,78,1900,21-0074,Female,Black,66,82
21-0075,2/23/2021 5:00:00,25,LACK OF SERVICE,"The complainant states detectives assigned to the Special Victims Unit violated departmental policies and did not provide proper service while in the confines of the 25th District. On 1-21-21 at 11:00 PM, an incident occurred at their residence for which police were called. The complainant states while under the influence of alcohol and narcotics, they provided a false statement to a detective. The complainant states they later told the detective that the statement was not accurate. A detective tried to convince them to say that they were raped. The complainant also states that a detective attempted to try and make them move forward with the case from a statement that was manipulated. The complainant states that their child was questioned, without their permission, and also manipulated by the detectives to say certain things.",2021-01-21,23:00:00,79,2500,21-0075,Female,Black,,83
21-0076,2/19/2021 5:00:00,35,LACK OF SERVICE,"On 2-6-21 at 8:30 PM, the complainant witnessed police fail to take proper action in reference to a 302 petition. The complainant states that the person who was being taken in for mental evaluation walked away from police and crossed the boulevard. The complainant was informed by officers that the individual was no longer in their jurisdiction and they proceeded to drive away.",2021-02-06,20:30:00,80,3500,21-0076,Female,,,84
